Register,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,testFrameworks,Generate,Compile,Build
6043,true,"""gateway""","""jwt""","""no""","""no""","""no""","""sql""","""mariadb""","""mariadb""","""maven""","""no""",false,true,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6044,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""no""","""sql""","""InMemory""","""mariadb""","""maven""","""elasticsearch""",false,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6046,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",false,false,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
6048,true,"""gateway""","""jwt""","""no""","""hazelcast""","""spring-websocket""","""sql""","""DiskBased""","""mariadb""","""maven""","""no""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6052,true,"""gateway""","""jwt""","""hazelcast""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6053,true,"""monolith""","""jwt""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6060,true,"""monolith""","""session""","""no""","""no""","""no""","""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6063,true,"""monolith""","""jwt""","""ehcache""","""hazelcast""","""no""","""sql""","""postgresql""","""postgresql""","""maven""","""no""",true,true,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
6067,true,"""monolith""","""jwt""","""no""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",true,true,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6069,true,"""monolith""","""jwt""","""ehcache""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""no""",false,false,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6070,true,"""monolith""","""session""","""hazelcast""","""hazelcast""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",true,true,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6072,true,"""gateway""","""jwt""","""no""","""hazelcast""","""no""","""sql""","""DiskBased""","""mariadb""","""maven""","""elasticsearch""",false,true,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
6078,true,"""monolith""","""jwt""","""hazelcast""","""hazelcast""","""no""","""sql""","""DiskBased""","""mysql""","""maven""","""elasticsearch""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6081,true,"""monolith""","""session""","""ehcache""","""no""","""no""","""sql""","""mysql""","""mysql""","""maven""","""no""",true,true,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6085,true,"""monolith""","""oauth2""","""hazelcast""","""hazelcast""","""no""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6087,true,"""monolith""","""session""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",true,false,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6088,true,"""monolith""","""session""","""hazelcast""","""no""","""no""","""sql""","""InMemory""","""mariadb""","""maven""","""elasticsearch""",true,false,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6091,true,"""monolith""","""oauth2""","""hazelcast""","""no""","""no""","""sql""","""InMemory""","""mariadb""","""maven""","""elasticsearch""",false,false,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6092,true,"""gateway""","""jwt""","""hazelcast""","""no""","""no""","""sql""","""DiskBased""","""mysql""","""maven""","""no""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6096,true,"""gateway""","""jwt""","""hazelcast""","""no""","""spring-websocket""","""sql""","""postgresql""","""postgresql""","""maven""","""elasticsearch""",false,false,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6099,true,"""monolith""","""jwt""","""no""","""no""","""spring-websocket""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,true,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6107,true,"""monolith""","""session""","""hazelcast""","""hazelcast""","""spring-websocket""","""sql""","""postgresql""","""postgresql""","""maven""","""elasticsearch""",true,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6108,true,"""monolith""","""session""","""no""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6114,true,"""monolith""","""session""","""hazelcast""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,true,true,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
6125,true,"""gateway""","""jwt""","""hazelcast""","""no""","""spring-websocket""","""sql""","""DiskBased""","""mariadb""","""maven""","""elasticsearch""",false,false,true,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6127,true,"""monolith""","""jwt""","""ehcache""","""no""","""no""","""sql""","""mysql""","""mysql""","""maven""","""no""",false,true,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
6132,true,"""gateway""","""jwt""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""DiskBased""","""mariadb""","""maven""","""elasticsearch""",false,false,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
6138,true,"""monolith""","""jwt""","""hazelcast""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,false,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6141,true,"""monolith""","""session""","""no""","""hazelcast""","""spring-websocket""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6150,true,"""monolith""","""jwt""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",true,true,false,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
6153,true,"""gateway""","""jwt""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,false,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6161,true,"""monolith""","""jwt""","""hazelcast""","""no""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",false,true,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6163,true,"""gateway""","""jwt""","""no""","""hazelcast""","""no""","""sql""","""mysql""","""mysql""","""maven""","""no""",false,true,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
6164,true,"""gateway""","""jwt""","""ehcache""","""no""","""no""","""sql""","""mariadb""","""mariadb""","""maven""","""elasticsearch""",false,true,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
6166,true,"""monolith""","""session""","""no""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",true,true,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6167,true,"""monolith""","""session""","""no""","""no""","""spring-websocket""","""sql""","""DiskBased""","""mysql""","""maven""","""no""",true,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6169,true,"""monolith""","""jwt""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,false,true,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6170,true,"""monolith""","""jwt""","""ehcache""","""hazelcast""","""no""","""sql""","""mysql""","""mysql""","""maven""","""no""",true,false,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6175,true,"""monolith""","""jwt""","""hazelcast""","""hazelcast""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",true,true,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6185,true,"""monolith""","""session""","""ehcache""","""hazelcast""","""no""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,true,false,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6188,true,"""monolith""","""jwt""","""no""","""no""","""spring-websocket""","""sql""","""DiskBased""","""mysql""","""maven""","""elasticsearch""",true,true,true,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6191,true,"""monolith""","""jwt""","""hazelcast""","""hazelcast""","""no""","""sql""","""DiskBased""","""mysql""","""maven""","""elasticsearch""",false,true,false,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
6193,true,"""gateway""","""jwt""","""hazelcast""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""mysql""","""maven""","""elasticsearch""",false,false,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6196,true,"""monolith""","""oauth2""","""ehcache""","""no""","""no""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",false,false,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
